designation,source_id,ra,dec,ra_error,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,ruwe,phot_g_mean_mag,visibility_periods_used,astrometric_sigma5d_max,astrometric_gof_al,parallax_over_error
Gaia DR3 2020089733992121088,2020089733992121088,295.8104821984068,23.337866734519494,0.008754046,0.01094064,0.4676910394342184,0.016456876,-1.5938663229330157,0.009853129,-5.234128523045608,0.015387671,-0.09401197,-0.10938233,-0.7318552,0.08209983,0.076424375,0.085109636,-0.32820585,0.012823857,-0.3466556,-0.009407803,1.0145891,13.888742,23,0.022156192,0.62205034,28.41919
Gaia DR3 2020090867863509376,2020090867863509376,295.7402984532655,23.3811061094153,0.014300991,0.020122435,0.5084652275667372,0.026665786,-1.411515880125539,0.016082544,-5.399742451397648,0.026742015,-0.1176405,-0.06454364,-0.6847965,0.100837156,0.062710516,0.11462572,-0.39415687,-0.032440253,-0.19909433,-0.011260717,1.0368328,15.362132,24,0.038338214,1.5698119,19.068075
Gaia DR3 2020092036097988608,2020092036097988608,295.7952006269264,23.37471630016525,0.012172463,0.01605809,0.4599864847619463,0.02334364,-1.7738588381063458,0.013878667,-5.218368271349037,0.021868113,0.0046398346,0.04746706,-0.67520076,-0.0016462795,0.02113156,0.009103206,-0.24712895,-0.15168673,-0.28801343,0.09281397,0.96176344,14.93274,24,0.031153752,-1.5630248,19.705004
Gaia DR3 2020093032527048320,2020093032527048320,295.84996539777353,23.46635072609593,0.014587321,0.01966072,0.48448806679838813,0.027043156,-1.5805068628789003,0.016768591,-5.4138234209916085,0.026186073,-0.11003197,-0.003818149,-0.6938687,0.06315422,-0.021939766,0.106254034,-0.34458977,-0.11596293,-0.18834308,0.019685503,1.0179787,15.332228,24,0.037244298,0.7531157,17.915367
Gaia DR3 2020084820549456512,2020084820549456512,295.83863456966276,23.215813680493255,0.016083585,0.017746624,0.4759869237175743,0.026746187,-1.5926908377512616,0.01891244,-5.6182043671697475,0.025249984,-0.14352758,-0.032807723,-0.7864558,0.016694581,0.02312175,0.1168414,-0.3032466,-0.035493787,-0.26807553,0.045840245,0.9819771,15.170647,23,0.035914484,-0.72604173,17.79644
Gaia DR3 2020089493473940608,2020089493473940608,295.7985629510562,23.31930528528184,0.009994864,0.011671587,0.4588895959674829,0.016669445,-1.6542554461643801,0.011265021,-5.436339455798131,0.01558132,-0.15297994,-0.09357805,-0.7698485,0.08298516,0.059112817,0.12816896,-0.36249247,0.0142519465,-0.2675078,-0.025667489,1.0192027,14.010298,24,0.022436121,0.7874701,27.528786
Gaia DR3 2020037537241671040,2020037537241671040,295.87411832537435,23.175400718692934,0.017806303,0.021000903,0.4859269010882458,0.028779076,-1.8268538026672392,0.020064978,-5.417543976009266,0.028283475,-0.011778862,0.034074552,-0.7487952,0.09853833,0.07438654,0.10617488,-0.25265768,-0.1084609,-0.2769216,0.05955021,1.0366089,15.086516,24,0.040165335,1.403164,16.88473
Gaia DR3 2020083171282175488,2020083171282175488,295.69202563783557,23.26071782146005,0.016328407,0.021409458,0.41022720411441205,0.02962474,-2.0209406917573416,0.018588372,-5.038202358957851,0.03022181,-0.07606133,0.02028848,-0.7642125,0.023498856,0.12119236,0.06335485,-0.4441842,-0.11407435,-0.27763337,0.07592854,1.0762273,15.231199,22,0.043637525,3.0394888,13.847454
Gaia DR3 2020083205641772544,2020083205641772544,295.7091305744556,23.26084328036452,0.009204173,0.011479121,0.5228390133598445,0.016607145,-1.5857323777009324,0.01045653,-5.4192568901221225,0.015163858,-0.08939765,-0.014856661,-0.75849235,0.030462602,0.05485317,0.07442583,-0.3811451,-0.064239174,-0.3439973,0.0355874,1.1187032,13.588301,21,0.022022039,4.581714,31.482777
Gaia DR3 2020085954420844928,2020085954420844928,295.8001950395307,23.26932003394396,0.013793117,0.01626709,0.43246333318955194,0.023962159,-1.6213608915711173,0.01595258,-5.356022605994246,0.022184677,-0.10255999,-0.013007373,-0.74192935,0.030658804,0.049421415,0.09089414,-0.30282578,-0.054193616,-0.2482368,0.03631225,1.4945463,14.216141,24,0.03156786,18.665619,18.047762
